Insight_Category,Community_Reporting_Area_Name,Tract_Name,Year,Current_Rent,Cost_Category,Growth_Rate_Percent,Year_over_Year_Change_in_Rent_Category,Investment_Rating
10. INVESTMENT OPPORTUNITIES,Central Area/Squire Park,Census Tract 88,2024,1838,Premium,12.6,Rapid Growth,Low Potential
10. INVESTMENT OPPORTUNITIES,Olympic Hills/Victory Heights,Census Tract 2.02,2024,1730,Moderate,9.6,Significant Increase,Low Potential
10. INVESTMENT OPPORTUNITIES,Olympic Hills/Victory Heights,Census Tract 2.01,2024,1777,Moderate,7.39,Significant Increase,Low Potential
10. INVESTMENT OPPORTUNITIES,Cedar Park/Meadowbrook,Census Tract 10,2024,1703,Moderate,6.7,Significant Increase,Low Potential
10. INVESTMENT OPPORTUNITIES,Olympic Hills/Victory Heights,Census Tract 7,2024,1605,Moderate,6.51,Significant Increase,Low Potential
10. INVESTMENT OPPORTUNITIES,North Beach/Blue Ridge,Census Tract 14,2024,1749,Moderate,4.74,Moderate Increase,Moderate Potential
10. INVESTMENT OPPORTUNITIES,Alki/Admiral,Census Tract 97.01,2024,1870,Premium,4.25,Moderate Increase,Low Potential
10. INVESTMENT OPPORTUNITIES,Roxhill/Westwood,Census Tract 114.02,2024,1487,Moderate,4.17,Moderate Increase,Moderate Potential
10. INVESTMENT OPPORTUNITIES,Greenwood/Phinney Ridge,Census Tract 17.01,2024,1893,Premium,3.79,Moderate Increase,Low Potential
10. INVESTMENT OPPORTUNITIES,North Capitol Hill,Census Tract 65,2024,1904,Premium,3.6,Moderate Increase,Low Potential
10. INVESTMENT OPPORTUNITIES,Central Area/Squire Park,Census Tract 77,2024,1537,Moderate,3.58,Moderate Increase,Moderate Potential
10. INVESTMENT OPPORTUNITIES,University District,Census Tract 53.06,2024,1733,Moderate,3.27,Moderate Increase,Moderate Potential
10. INVESTMENT OPPORTUNITIES,Central Area/Squire Park,Census Tract 87,2024,1657,Moderate,3.24,Moderate Increase,Moderate Potential
10. INVESTMENT OPPORTUNITIES,High Point,Census Tract 107.01,2024,1939,Premium,3.21,Moderate Increase,Low Potential
10. INVESTMENT OPPORTUNITIES,University District,Census Tract 53.05,2024,1574,Moderate,3.19,Moderate Increase,Moderate Potential
