Insight_Category,Community_Reporting_Area_Name,Year,Avg_Rent,Avg_Rent_Per_SqFt,Number_of_Tracts
2. MOST EXPENSIVE COMMUNITIES,Downtown Commercial Core,2024,3099,3.5399999618530273,2
2. MOST EXPENSIVE COMMUNITIES,Cascade/Eastlake,2024,2692,3.665714366095407,7
2. MOST EXPENSIVE COMMUNITIES,Belltown,2024,2336,3.2800000508626304,3
2. MOST EXPENSIVE COMMUNITIES,Duwamish/SODO,2024,2209,3.059999942779541,1
2. MOST EXPENSIVE COMMUNITIES,First Hill,2024,2130,3.200000047683716,4
2. MOST EXPENSIVE COMMUNITIES,Ravenna/Bryant,2024,2077,3.194285682269505,7
2. MOST EXPENSIVE COMMUNITIES,Madison Park,2024,2060,2.7200000286102295,1
2. MOST EXPENSIVE COMMUNITIES,High Point,2024,2012,2.6050000190734863,2
2. MOST EXPENSIVE COMMUNITIES,Queen Anne,2024,2001,2.944166680177053,12
2. MOST EXPENSIVE COMMUNITIES,West Seattle Junction/Genesee Hill,2024,1958,2.994000053405762,5
