Insight_Category,Community_Reporting_Area_Name,Year,Avg_Rent,Avg_Rent_Per_SqFt,Number_of_Tracts
3. MOST AFFORDABLE COMMUNITIES,South Park,2024,892,1.4700000286102295,1
3. MOST AFFORDABLE COMMUNITIES,Georgetown,2024,1318,2.630000114440918,1
3. MOST AFFORDABLE COMMUNITIES,Riverview,2024,1333,1.899999976158142,1
3. MOST AFFORDABLE COMMUNITIES,Rainier Beach,2024,1387,2.1449999809265137,2
3. MOST AFFORDABLE COMMUNITIES,Seward Park,2024,1389,2.0399999618530273,2
3. MOST AFFORDABLE COMMUNITIES,Licton Springs,2024,1402,2.125,2
3. MOST AFFORDABLE COMMUNITIES,Mt. Baker/North Rainier,2024,1417,3.049999952316284,1
3. MOST AFFORDABLE COMMUNITIES,Fauntleroy/Seaview,2024,1453,2.207500010728836,4
3. MOST AFFORDABLE COMMUNITIES,Beacon Hill,2024,1459,1.9199999570846558,1
3. MOST AFFORDABLE COMMUNITIES,Laurelhurst/Sand Point,2024,1507,2.2033333778381348,3
