Insight_Category,Community_Reporting_Area_Name,Tract_Name,Year,Current_Rent,Dollar_Change,Percent_Change,Year_over_Year_Change_in_Rent_Category
5. DECLINING RENT MARKETS,North Beacon Hill/Jefferson Park,Census Tract 94,2024,1656,-177,-10.03,Significant Decrease
5. DECLINING RENT MARKETS,Highland Park,Census Tract 113,2024,1561,-106,-6.31,Significant Decrease
5. DECLINING RENT MARKETS,Northgate/Maple Leaf,Census Tract 12.02,2024,2019,-97,-4.53,Moderate Decrease
5. DECLINING RENT MARKETS,Columbia City,Census Tract 111.01,2024,1705,-75,-4.35,Moderate Decrease
5. DECLINING RENT MARKETS,Pioneer Square/International District,Census Tract 91,2024,1831,-66,-3.34,Moderate Decrease
5. DECLINING RENT MARKETS,Downtown Commercial Core,Census Tract 81.02,2024,3367,-112,-3.27,Moderate Decrease
5. DECLINING RENT MARKETS,Queen Anne,Census Tract 67.02,2024,2276,-62,-2.92,Moderate Decrease
5. DECLINING RENT MARKETS,Madrona/Leschi,Census Tract 89,2024,2122,-60,-2.84,Moderate Decrease
5. DECLINING RENT MARKETS,Northgate/Maple Leaf,Census Tract 12.01,2024,1755,-47,-2.77,Moderate Decrease
5. DECLINING RENT MARKETS,Capitol Hill,Census Tract 74.04,2024,1636,-38,-2.43,Moderate Decrease
