Insight_Category,Community_Reporting_Area_Name,Number_of_Tracts,Avg_Rent,Avg_YoY_Change,Min_Rent_in_Community,Max_Rent_in_Community,Rent_Range
9. COMMUNITY-LEVEL PERFORMANCE,Downtown Commercial Core,2,3099,0.6249999999999998,2832,3367,535
9. COMMUNITY-LEVEL PERFORMANCE,Cascade/Eastlake,7,2692,2.6485714285714286,1953,3329,1376
9. COMMUNITY-LEVEL PERFORMANCE,Belltown,3,2336,3.5566666666666666,2218,2439,221
9. COMMUNITY-LEVEL PERFORMANCE,Duwamish/SODO,1,2209,-0.33,2209,2209,0
9. COMMUNITY-LEVEL PERFORMANCE,First Hill,4,2130,-0.08249999999999996,1718,2472,754
9. COMMUNITY-LEVEL PERFORMANCE,Ravenna/Bryant,7,2077,2.704285714285714,1685,2661,976
9. COMMUNITY-LEVEL PERFORMANCE,Madison Park,1,2060,1.12,2060,2060,0
9. COMMUNITY-LEVEL PERFORMANCE,High Point,2,2012,5.23,1939,2086,147
9. COMMUNITY-LEVEL PERFORMANCE,Queen Anne,12,2001,1.1500000000000001,1577,2493,916
9. COMMUNITY-LEVEL PERFORMANCE,West Seattle Junction/Genesee Hill,5,1958,1.7280000000000002,1719,2130,411
9. COMMUNITY-LEVEL PERFORMANCE,Madrona/Leschi,2,1956,-0.9849999999999999,1791,2122,331
9. COMMUNITY-LEVEL PERFORMANCE,Miller Park,2,1955,0.8749999999999999,1830,2080,250
9. COMMUNITY-LEVEL PERFORMANCE,Ballard,3,1954,-0.8300000000000001,1781,2105,324
9. COMMUNITY-LEVEL PERFORMANCE,Northgate/Maple Leaf,4,1933,-1.3925,1736,2222,486
9. COMMUNITY-LEVEL PERFORMANCE,Fremont,5,1904,0.41200000000000003,1511,2334,823
9. COMMUNITY-LEVEL PERFORMANCE,North Capitol Hill,1,1904,3.6,1904,1904,0
9. COMMUNITY-LEVEL PERFORMANCE,Interbay,3,1884,1.4066666666666665,1505,2103,598
9. COMMUNITY-LEVEL PERFORMANCE,Judkins Park,1,1837,1.47,1837,1837,0
9. COMMUNITY-LEVEL PERFORMANCE,Capitol Hill,9,1830,-0.1777777777777777,1588,2133,545
